commodity,year,dropped_country,kept_country,qty,value
"Flax, Dressed Or Undressed",1896,Russia,Russia,57095,1592081
Hemp — Dressed Or Undressed,1893,Philippine And Ladrone Islands,Philippine Islands,36403,970166
"Iron — Old, For Re-Manufacture",1880,United States Of America,United States Of America (Atlantic),197653,946172
Butter,1896,United States Of America (Atlantic),United States Of America,141553,617525
Wood And Timber — Teak,1884,Bombay,Bengal And Burmah,35498,514447
Hay,1893,United States Of America (Atlantic),United States Of America,101132,506564
Wood And Timber — Teak,1876,Straits Settlements,Bengal And Burmah,34416,407444
Rosin,1883,Canada,United States Of America,1337848,385973
Wood And Timber — Teak,1875,Other Countries,Bengal And Burmah,30515,364439
Brimstone,1877,Italy,Italy,1004591,307181
Butter,1895,United States Of America (Atlantic),United States Of America,66932,271776
Nuts And Kernels — Seed,1895,United States Of America (Atlantic),United States Of America,14662,247193
"Buttons And Studs, Not Of Metal",1882,Belgium,Belgium,2216944,242557
Mares,1896,United States Of America (Atlantic),United States Of America,7692,225714
"Zinc — Crude, In Cakes",1897,United States Of America (Atlantic),United States Of America,13207,211757
Corn And Grain — Pease,1893,Chile,United States Of America (Atlantic),515325,170567
Nuts And Kernels — Commonly Used For Expressing Oil Therefrom,1887,?,West Africa Settlements,14203,141174
"Zinc — Crude, In Cakes",1896,United States Of America (Atlantic),United States Of America,7949,133625
Butter,1894,United States Of America (Atlantic),United States Of America,29996,125947
Hay,1895,United States Of America (Atlantic),United States Of America,36176,122358
Myrabolams,1874,Madras,Madras,193276,111827
Butter,1893,United States Of America (Atlantic),United States Of America,22930,104220
"Buttons And Studs, Not Of Metal",1882,Other Countries,Other Countries,846011,101512
"Sugar — Unrefined : Cane, And Other Sorts",1882,Danish West India Islands,Danish West India Islands,84519,98755
Shell Fish : Oysters,1897,United States Of America (Atlantic),United States Of America,136745,93812
Caoutchouc,1874,Portuguese Possessions,Not Particularly Designated,13297,90937
Nuts And Kernels — Seed,1893,United States Of America (Atlantic),United States Of America,4230,89550
Myrabolams,1874,Bombay,Bombay,130465,85791
Wood And Timber — Teak,1884,Burmah,Siam,4784,70318
