commodity,year,value_line,quantity_line,price
"Sugar — Unrefined, Total",1883,20473237,20366627,0.78
Potatoes,1899,5159011,5159011,0.32
Silk — Raw,1877,4452045,4441891,0.71
Spirits — Rum,1888,4146564,4146564,0.09
Iron — Ore Of,1878,1162851,1173411,0.77
"Glass — Window And German Sheet, Including Shades And Cylinders",1895,1036352,1036352,0.57
Oil — Palm,1888,945896,953799,1.35
Grapes — Raw,1900,595000,592857,0.52
Pears — Raw,1899,571832,571832,0.41
Coco Nut,1900,552743,552743,1.49
"Skins, Furs, And Pelts — Seal",1890,465844,470230,0.73
Clocks,1888,469450,469450,0.74
Clocks,1887,398259,398259,0.74
Saltpetre,1883,286187,285647,1.31
Pork — Salted (Not Hams),1899,284720,284720,1.61
Sugar — Glucose,1877,273997,276627,0.67
Clocks,1870,258628,256861,0.74
"Glass — Plate, Whether Silvered Or Not",1899,246254,246254,1.93
Sugar — Glucose,1875,239585,237997,0.67
Silk — Thrown,1885,231862,230299,1.21
Oil — Coco-Nut,1888,194025,194025,1.49
Oil — Coco-Nut,1887,180792,180792,1.49
Sugar — Glucose,1874,152593,151395,0.67
"Lac, Seed, Shell, Stick, And Dye",1885,119511,119511,4.31
"Lac, Seed, Shell, Stick, And Dye",1884,112479,112479,4.31
"Plate — Of Silver, Gilt Or Ungilt",1899,111777,111777,0.42
"Lac, Seed, Shell, Stick, And Dye",1887,110778,110778,4.31
"Hair — Cow, Ox, Bull, Or Elk",1890,109749,109749,1.38
"Lac, Seed, Shell, Stick, And Dye",1899,108758,108758,4.31
"Lac, Seed, Shell, Stick, And Dye",1886,107261,107261,4.31
"Lac, Seed, Shell, Stick, And Dye",1888,103138,103183,4.31
Manures — Unenumerated,1888,102957,102957,2.17
"Hair — Cow, Ox, Bull, Or Elk",1891,98380,98380,1.38
"Hair — Cow, Ox, Bull, Or Elk",1888,94994,94994,1.38
"Lac, Seed, Shell, Stick, And Dye",1890,91834,91834,4.31
"Hair — Cow, Ox, Bull, Or Elk",1889,91707,91707,1.38
"Hair — Cow, Ox, Bull, Or Elk",1886,83941,83941,1.38
"Hair — Cow, Ox, Bull, Or Elk",1887,83013,83043,1.38
Kowrie,1885,82266,82266,2.82
"Lac, Seed, Shell, Stick, And Dye",1889,78581,78581,4.31
Manures — Unenumerated,1887,73957,73957,2.17
Manures — Unenumerated,1886,67531,67531,2.17
Kowrie,1888,66000,66000,2.82
Kowrie,1889,59882,59882,2.82
Kowrie,1887,55144,55144,2.82
Kowrie,1890,55076,55076,2.82
Oil — Castor,1900,53335,53335,1.45
Kowrie,1886,44724,44724,2.82
Dye Woods — Unenumerated,1887,24807,24807,6.34
Dye Woods — Unenumerated,1890,24321,24321,6.34
Dye Woods — Unenumerated,1886,22466,22466,6.34
Madder — Root,1877,19496,19491,1.33
Dye Woods — Unenumerated,1889,18207,18207,6.34
Dye Woods — Unenumerated,1888,17232,17232,6.34
Dye Woods — Unenumerated,1896,14705,14705,6.34
Dye Woods — Unenumerated,1899,11645,11645,6.34
Dye Woods — Unenumerated,1898,9963,9963,6.34
