gold_name,year,unit,gold_value,parsed_median,parsed_label
turpentine,1881,cwts,66.0,285492.0,Turpentine
woollen yarn,1891,lbs,117243.0,16138234.0,Woollen Yarn - - - - -
cutch and gambier,1892,tons,631.0,25200.0,Dyeing or Tanning Stuffs Cutch and Gambier
wood and timber hewn,1891,loads,75248.0,2250692.0,Wood and Timber Hewn
wood and timber hewn,1881,loads,69006.0,1871966.0,Wood and Timber Hewn
wood and timber sawn or split,1891,loads,162571.0,4379060.0,Wood and Timber Sawn or Split
turpentine,1871,cwts,6650.0,178615.0,Turpentine
wood and timber hewn,1871,loads,84558.0,1658894.0,Wood and Timber Hewn
boots and shoes,1890,dozen pairs,99613.0,1628481.0,Boots and Shoes
wood and timber sawn or split,1871,loads,241914.0,2857777.0,Wood and Timber Sawn or Split
wood and timber sawn or split,1881,loads,337671.0,3673407.0,Wood and Timber Sawn or Split
lard,1871,cwts,177568.0,477568.0,Lard
spirits not sweetened,1891,gallons,1639895.0,3139865.0,"Spirits Unenumerated, not sweetened"
meat salted or fresh,1891,cwts,113357.0,212327.0,"Meat, Unenumerated ; Salted or Fresh"
shumach,1881,tons,13096.0,18096.0,Shumach
galls,1874,cwts,21278.0,24278.0,Galls
madder root,1869,cwts,101705.0,105626.0,Dyeing or Tanning Stuffs Madder Root
tallow and stearine,1875,cwts,987396.0,967396.0,Tallow and Stearine
madder root,1873,cwts,75295.0,76416.0,Dyeing or Tanning Stuffs Madder Root
madder root,1877,cwts,19240.0,19491.0,Dyeing or Tanning Stuffs Madder Root
hops,1891,cwts,195266.0,193266.0,Hops
plumbago,1889,tons,13306.0,13396.0,Plumbago - - - - -
madder root,1871,cwts,154801.0,155733.0,Dyeing or Tanning Stuffs Madder Root
pitch,1891,cwts,94305.0,94805.0,Pitch - - - - -
