commodity,year,origin,unit,qty,anchor,x_anchor
Silk — Raw,1873,British East Indies,Lb,84778433506,6445213,13153.7
Tobacco — Unmanufactured,1894,United States Of America,Lb,76105900,57781317,1.3
Wine — Total Of All Kinds,1882,Leather Lbs,Gallon,75217704,15715813,4.8
Wine — Total Of All Kinds,1882,Corn Wheat,Gallon,64240749,15715813,4.1
Wine — Total Of All Kinds,1882,Petroleum Gallons,Gallon,59695982,15715813,3.8
Wine — Total Of All Kinds,1881,Petroleum Gallons,Gallon,59237258,16297033,3.6
Wine — Total Of All Kinds,1881,Corn Wheat,Gallon,57147933,16297033,3.5
Wine — Total Of All Kinds,1877,Corn Wheat,Gallon,54269800,19568807,2.8
Wine — Total Of All Kinds,1881,Tanned Tawed Curried Or Dressed Lbs,Gallon,52002463,16297033,3.2
Wine — Total Of All Kinds,1877,Tanned Tawed Curried Or Lbs,Gallon,46917689,19568807,2.4
Wine — Total Of All Kinds,1876,Tanned Tawed Curried Or Dressed Lbs,Gallon,44768891,19950723,2.2
Wine — Total Of All Kinds,1876,Corn Wheat,Gallon,44454657,19950723,2.2
Wine — Total Of All Kinds,1876,Indian Corn Or Maize,Gallon,39963369,19950723,2.0
Wine — Total Of All Kinds,1877,Petroleum Gallons,Gallon,33866311,19568807,1.7
Wine — Total Of All Kinds,1881,Indian Corn Or Maize,Gallon,33480846,16297033,2.1
Wine — Total Of All Kinds,1877,Indian Corn Or Maize,Gallon,30477818,19568807,1.6
"Teeth, Elephants', Sea Cow, And Sea Horse",1881,Other Countries,Cwt,25711341,12377,2077.3
Wine — Total Of All Kinds,1876,Petroleum Gallons,Gallon,25201177,19950723,1.3
Wine — Total Of All Kinds,1881,Cocoa Lbs,Gallon,22451834,16297033,1.4
Wine — Total Of All Kinds,1882,Cocoa Lbs,Gallon,19101646,15715813,1.2
Wine — Total Of All Kinds,1882,Indian Corn Or Maize,Gallon,18275731,15715813,1.2
Linen Yarn,1890,Belgium,Lb,12485017,432556,28.9
Feathers — Ornamental,1889,British East Indies,Lb,8793614,796537,11.0
Yarn,1891,Germany,Lb,8528710,3021391,2.8
Yarn,1889,Germany,Lb,7910652,3422121,2.3
Yarn,1882,Germany,Lb,7455607,1408069,5.3
Yarn,1899,Bombay,Lb,7437522,4694074,1.6
Yarn,1886,Germany,Lb,7416741,3948886,1.9
Yarn,1887,Germany,Lb,6978561,2556642,2.7
Yarn,1897,Bombay,Lb,6727790,4884952,1.4
Yarn,1884,Germany,Lb,6530353,2534462,2.6
Yarn,1893,Germany,Lb,6218167,1552139,4.0
Yarn,1894,Germany,Lb,6111464,2128093,2.9
Yarn,1898,Bombay,Lb,6006850,3968861,1.5
Linen Yarn,1890,France,Lb,4365970,432556,10.1
Bacon,1893,United States Of America,Cwt,3935097,3198887,1.2
Dye Woods — Logwood,1898,Russia (Northern Ports),Ton,3545202,42374,83.7
Potatoes,1893,Burmah,Cwt,3312241,2828125,1.2
Dye Woods — Logwood,1897,Russia (Northern Ports),Ton,3132233,39297,79.7
Dye Woods — Logwood,1894,Belgium,Ton,2954843,68457,43.2
Potatoes,1896,Burmah,Cwt,2787050,2244627,1.2
Dye Woods — Logwood,1896,Russia,Ton,2496038,76075,32.8
Dye Woods — Logwood,1896,Russia (Northern Ports),Ton,2493779,76075,32.8
Dye Woods — Logwood,1897,Belgium,Ton,2464182,39297,62.7
Dye Woods — Logwood,1898,Belgium,Ton,2349962,42374,55.5
Feathers — Ornamental,1889,France,Lb,2283838,796537,2.9
Dye Woods — Logwood,1895,Belgium,Ton,2261630,58964,38.4
Dye Woods — Logwood,1896,Belgium,Ton,2243909,76075,29.5
Feathers — Ornamental,1889,United States Of America,Lb,2237278,796537,2.8
Dye Woods — Logwood,1895,Russia,Ton,2229870,58964,37.8
Dye Woods — Logwood,1895,Russia (Northern Ports),Ton,2215220,58964,37.6
"Mutton, Fresh",1892,Chile,Cwt,2069441,1699966,1.2
Dye Woods — Logwood,1898,Denmark,Ton,2019503,42374,47.7
Saltpetre (Nitrate Of Potash),1895,Hong Kong,Cwt,2003260,228477,8.8
Saltpetre (Nitrate Of Potash),1894,Hong Kong,Cwt,1863624,289363,6.4
Dye Woods — Logwood,1897,Denmark,Ton,1748809,39297,44.5
Dye Woods — Logwood,1896,Denmark,Ton,1566623,76075,20.6
Feathers — Ornamental,1889,British Possessions In South Africa,Lb,1481670,796537,1.9
Saltpetre (Nitrate Of Potash),1897,Hong Kong,Cwt,1348490,330013,4.1
Collodium,1894,Greece,Gallon,1301735,1270,1025.0
Saltpetre (Nitrate Of Potash),1896,Hong Kong,Cwt,1280110,340750,3.8
Dye Woods — Logwood,1895,Denmark,Ton,1279013,58964,21.7
Saltpetre (Nitrate Of Potash),1898,Hong Kong,Cwt,1277300,262270,4.9
Dye Woods — Logwood,1894,Russia (Northern Ports),Ton,1267559,68457,18.5
Dye Woods — Logwood,1894,Denmark,Ton,1254914,68457,18.3
"Teeth, Elephants', Sea Cow, And Sea Horse",1881,Portuguese Possessions In Western Africa,Cwt,1243698,12377,100.5
Saltpetre (Nitrate Of Potash),1893,Hong Kong,Cwt,1227976,242568,5.1
Collodium,1893,Greece,Gallon,1224832,1942,630.7
Butter — Margarine (Including All Kinds Of Artificial Or Imitation Butter),1893,Holland,Cwt,1220737,925934,1.3
"Metal — Leaf, Not Gold",1895,New Zealand,Packets,1171048,186727,6.3
Collodium,1897,Greece,Gallon,1120478,1575,711.4
Saltpetre (Nitrate Of Potash),1897,United States Of America,Cwt,1032074,330013,3.1
Saltpetre (Nitrate Of Potash),1897,United States Of America (Atlantic),Cwt,1025074,330013,3.1
Saltpetre (Nitrate Of Potash),1898,Bombay,Cwt,1009563,262270,3.8
Collodium,1896,Greece,Gallon,983609,1819,540.7
Saltpetre (Nitrate Of Potash),1898,United States Of America,Cwt,982419,262270,3.7
"Madder, Madder Root, Garancine, And Munjeet",1894,British East Indies,Cwt,919819,8744,105.2
"Metal — Leaf, Not Gold",1897,Argentine Republic,Packets,908623,124027,7.3
"Madder, Madder Root, Garancine, And Munjeet",1894,Bombay,Cwt,760541,8744,87.0
Dye Woods — Logwood,1898,Canada,Ton,745355,42374,17.6
"Metal — Leaf, Not Gold",1895,Argentine Republic,Packets,715296,186727,3.8
Saltpetre (Nitrate Of Potash),1897,Bombay,Cwt,707050,330013,2.1
"Madder, Madder Root, Garancine, And Munjeet",1895,British East Indies,Cwt,616625,6054,101.9
Saltpetre (Nitrate Of Potash),1895,United States Of America,Cwt,598730,228477,2.6
"Metal — Leaf, Not Gold",1894,Argentine Republic,Packets,585729,147818,4.0
"Animals, Living — Oxen And Bulls",1894,United States Of America,Number,581657,471794,1.2
Dye Woods — Logwood,1897,Canada,Ton,568769,39297,14.5
"Madder, Madder Root, Garancine, And Munjeet",1896,British East Indies,Cwt,521906,5217,100.0
Saltpetre (Nitrate Of Potash),1895,United States Of America (Atlantic),Cwt,505730,228477,2.2
Dye Woods — Logwood,1896,Canada,Ton,500317,76075,6.6
Saltpetre (Nitrate Of Potash),1894,Bombay,Cwt,480901,289363,1.7
Saltpetre (Nitrate Of Potash),1896,United States Of America (Atlantic),Cwt,465650,340750,1.4
Saltpetre (Nitrate Of Potash),1896,United States Of America,Cwt,465090,340750,1.4
"Madder, Madder Root, Garancine, And Munjeet",1895,Bombay,Cwt,458359,6054,75.7
"Madder, Madder Root, Garancine, And Munjeet",1893,British East Indies,Cwt,449157,7006,64.1
"Madder, Madder Root, Garancine, And Munjeet",1896,Bombay,Cwt,448996,5217,86.1
Dye Woods — Logwood,1895,Canada,Ton,436903,58964,7.4
Saltpetre (Nitrate Of Potash),1898,Italy,Cwt,427800,262270,1.6
Vegetable,1895,Bengal,Cwt,389939,259760,1.5
"Madder, Madder Root, Garancine, And Munjeet",1897,British East Indies,Cwt,370789,3793,97.8
Vegetable,1898,Bengal,Cwt,360702,254320,1.4
"Madder, Madder Root, Garancine, And Munjeet",1893,Bombay,Cwt,343979,7006,49.1
Horns And Hoofs,1889,Norway,Ton,342009,5746,59.5
Saltpetre (Nitrate Of Potash),1898,Madras,Cwt,316114,262270,1.2
"Cured Or Salted, Unenumerated",1894,Norway,Cwt,293335,61927,4.7
"Madder, Madder Root, Garancine, And Munjeet",1897,Bombay,Cwt,270329,3793,71.3
"Varnished, Japanned Or Enamelled",1896,United States Of America,Lb,259659,4295,60.5
Dye Woods — Logwood,1894,Canada,Ton,254604,68457,3.7
"Cured Or Salted, Unenumerated",1894,Canada,Cwt,249970,61927,4.0
Lead — Pig And Sheet,1895,Madras,Ton,235469,162924,1.4
Lead — Pig And Sheet,1894,Madras,Ton,220815,161861,1.4
"Varnished, Japanned Or Enamelled",1895,Holland,Lb,219701,4210,52.2
"Varnished, Japanned Or Enamelled",1893,United States Of America,Lb,205054,3993,51.4
"Varnished, Japanned Or Enamelled",1895,United States Of America,Lb,203110,4210,48.2
"Varnished, Japanned Or Enamelled",1896,Holland,Lb,196381,4295,45.7
"Varnished, Japanned Or Enamelled",1893,Holland,Lb,176628,3993,44.2
Collodium,1893,Holland,Gallon,170342,1942,87.7
Collodium,1897,Belgium,Gallon,154918,1575,98.4
Dye Woods — Logwood,1898,Egypt,Ton,149334,42374,3.5
Collodium,1894,Holland,Gallon,141667,1270,111.5
"Madder, Madder Root, Garancine, And Munjeet",1894,Madras,Cwt,136507,8744,15.6
"Madder, Madder Root, Garancine, And Munjeet",1895,Madras,Cwt,135742,6054,22.4
Dye Woods — Logwood,1898,Spain,Ton,126027,42374,3.0
"Cured Or Salted, Unenumerated",1894,United States Of America,Cwt,124078,61927,2.0
"Cured Or Salted, Unenumerated",1894,Denmark,Cwt,121360,61927,2.0
Collodium,1896,Belgium,Gallon,109131,1819,60.0
Dye Woods — Logwood,1898,Portugal,Ton,100700,42374,2.4
"Cured Or Salted, Unenumerated",1894,Newfoundland,Cwt,95314,61927,1.5
