commodity,gbp,flags
Iron — Leather Manufacturers,962654,noorig nounit oneyear noanchor resid
Jute — From British East Indies,6074,noorig nounit oneyear noanchor resid
Iron — Puddled And Puddled Bars,4651,noorig nounit oneyear noanchor resid
Unions,3892,noorig nounit oneyear noanchor resid
Woollen And Worsted Manufactures — To British East Indies,3621,noorig nounit oneyear noanchor resid
"Coffee — Coffee And Chicory, Roasted Orground, Mixed In Bond",1882,noorig nounit oneyear noanchor resid
"Coffee — Coffee And Chicory, Roasted Orground, Mixed",1833,noorig nounit oneyear noanchor resid
"Arms, Ammunition, And Military Stores — Swords, Cutlasses, And Bayonets, And Armsof Other Sorts",1827,noorig nounit oneyear noanchor resid
"Coffee — Kiln-Dried, Roasted, Or Ground, In Bond",1419,noorig nounit oneyear noanchor resid
"Cheese — Chicory: Other Vegetable Matter,Applicable To The Uses Of Chicoryor Coffee",606,noorig nounit oneyear noanchor resid
"Tobacco — Manufactured, Snuff",562,noorig nounit oneyear noanchor resid
Drugs — From British Possessions In Southafrica,386,noorig nounit oneyear noanchor resid
"Cheese — Imitation (Including Lard,Cheese, And All Kinds Ofartificial Cheese)",148,noorig nounit oneyear noanchor resid
Isle Of Man,0,noorig noval nounit oneyear noanchor
Implements And Tools,0,noorig noval nounit oneyear noanchor
Woollen And Worsted Manufactures — Zinc Or Spekter,0,noorig noval nounit oneyear noanchor
Scotland,0,noorig noval nounit oneyear noanchor
Articles Subject To Duty,0,noorig noval nounit oneyear noanchor
Articles Subject To Duty — Customs Duty,0,noorig noval nounit oneyear noanchor
"Fish, Fresh And Cured",0,noorig noval nounit oneyear noanchor
"Arms And Ammunition — Rockets And Other Combustiblesfor The Purposes Of War, Ex-Plosives, Percussion Caps, Andammunition, Unenumerated",0,noorig noval nounit oneyear noanchor
Ireland,0,noorig noval nounit oneyear noanchor
"Arms, Ammunition, And Military Stores — Ordnance Stores, Not Otherwise Described",0,noorig noval nounit oneyear noanchor
"Woollen And Worsted Manufactures — Broad Cloths; Coatings, Duffs, &C., Ofwool, Mixed With Other Materials",950000000,noval nounit oneyear noanchor
Leather Manufactures,4738926,transposed noorig noval noanchor
Woollen,2515305,transposed noorig noval noanchor
Flax — Dressed And Endressed,104638,nounit oneyear noanchor resid
"Fish, Fresh And Cured — Pilchards",69191,noorig nounit noanchor resid
"Wine — White, In Bottles : Sparkling : Saumur",65005,noorig oneyear noanchor resid
Metals And Ores — Puddled,63721,nounit nooverlap gapyears resid
"Woollen And Worsted Manufactures — Coatings, Duffels, &C., All Wool",54558,nounit oneyear noanchor resid
Flax & Hemp — Dressed And Undressed,18643,noorig nounit noanchor resid
Perfumery — Refined,15324,nounit oneyear noanchor resid
Sawn — Unenumerated,14491,nounit oneyear noanchor resid
Sugar — Manufactures,11996,noorig oneyear noanchor resid
"Umbrellas And Parasols — Wine, British Made",6294,noorig nounit noanchor resid
Isk,6000,noorig oneyear noanchor resid
Metals,3349,transposed noorig noval noanchor
Mafs And Charts,1146,noorig oneyear noanchor resid
"Cards, Playing — Pickles Preserved In Vinegar",1060,noorig oneyear noanchor resid
