volume,flow,duty,group,article,year,total_qty,sum_qty,total_val,sum_val,worst_rel_err
as_1872,export_uk,,ALKALI,,1872,4453068.0,4453068.0,2486991.0,2456658.0,0.0122
as_1872,export_uk,,APPAREL and SLOPS,,1872,,0.0,3112452.0,3112422.0,0.0000
as_1872,export_uk,,"ARMS, AMMUNITION, and MILITARY STORES","Shot of Iron, including Shells",1872,27056.0,27126.0,35769.0,35769.0,0.0026
as_1872,export_uk,,"ARMS, AMMUNITION, and MILITARY STORES",Gunpowder,1872,19689628.0,19859628.0,485434.0,485434.0,0.0086
as_1872,export_uk,,"ARMS, AMMUNITION, and MILITARY STORES",Percussion Caps,1872,36474850.0,643150066.0,4290.0,64997.0,16.6327
as_1872,export_uk,,"ARMS, AMMUNITION, and MILITARY STORES","Ordnance Stores, and Ammunition, Unenumerated",1872,,0.0,54622.0,153886.0,1.8173
as_1872,export_uk,,"BAGS and SACKS, Empty",,1872,3655092.0,3685192.0,1627026.0,1626669.0,0.0082
as_1872,export_uk,,BEER and ALE,,1872,522080.0,522020.0,2085430.0,2082500.0,0.0014
as_1872,export_uk,,BISCUIT and BREAD,,1872,124270.0,119624.0,327066.0,317439.0,0.0374
as_1872,export_uk,,BISCUIT and BREAD,REACHING MATERIALS,1872,551000.0,601060.0,373096.0,373036.0,0.0909
as_1872,export_uk,,"Books, Printed",,1872,81422.0,81092.0,883914.0,880914.0,0.0041
as_1872,export_uk,,BRASS,"Manufactures of, not being Ordnance",1872,69034.0,69034.0,377329.0,377299.0,0.0001
as_1872,export_uk,,BUTTER,,1872,51151.0,54450.0,305570.0,305570.0,0.0645
as_1872,export_uk,,"CANDLES, of all Sorts",,1872,6767013.0,6390872.0,222191.0,211457.0,0.0556
as_1872,export_uk,,CAOUTCHOUO MANUFACTURES,,1872,,0.0,1032092.0,1009092.0,0.0223
as_1872,export_uk,,"CARRIAGES, CARTS, &c.",Railway Carriages for Passengers,1872,167.0,167.0,38785.0,38875.0,0.0023
as_1872,export_uk,,"CARRIAGES, CARTS, &c.","Railway Waggons, Trucks, &c. (not of Iron) for Ballast, Minerals, or Merchandize",1872,2211.0,2161.0,198509.0,195413.0,0.0226
as_1872,export_uk,,CEMENT,,1872,70496.0,3655079.0,8685.0,449941.0,50.8480
as_1872,export_uk,,CHEESE,,1872,19440.0,13965.0,82392.0,57566.0,0.3013
as_1872,export_uk,,"CHEMICAL PRODUCTS or Preparations, not specially enumerated",,1872,,0.0,1863634.0,1827640.0,0.0193
as_1872,export_uk,,CLAY unmanufactured,,1872,110016.0,109991.0,133249.0,132949.0,0.0023
as_1872,export_uk,,"COALS, CINDERS, &c.",Coals,1872,12712231.0,12672236.0,9558418.0,9758318.0,0.0209
as_1872,export_uk,,"COALS, CINDERS, &c.",Coke and Cinders,1872,279022.0,278992.0,394568.0,394568.0,0.0001
as_1872,export_uk,,"COALS, CINDERS, &c.","Fuel, Manufactured",1872,207241.0,207208.0,189335.0,189335.0,0.0002
as_1872,export_uk,,"COALS, CINDERS, &c.Products of Coal, Peat, or Shale, including 
                    Naphtha, Paraffine, and Oil thereof, and 
                    Petroleum, Pitch, and Tar",,1872,,0.0,356293.0,326263.0,0.0843
as_1872,export_uk,,"COALS, CINDERS, &c.Products of Coal, Peat, or Shale, including 
                    Naphtha, Paraffine, and Oil thereof, and 
                    Petroleum, Pitch, and Tar",Unenumerated,1872,180078.0,180148.0,938822.0,908812.0,0.0320
as_1872,export_uk,,CORN and GRAIN,Malt,1872,57958.0,57658.0,266806.0,186898.0,0.2995
as_1872,export_uk,,CORN and GRAIN,Oats,1872,77484.0,75184.0,34984.0,34984.0,0.0297
as_1872,export_uk,,MeAL and FLOUR,Wheat Meal or Flour,1872,37935.0,37905.0,33148.0,33148.0,0.0008
as_1872,export_uk,,MeAL and FLOUR,Oatmeal,1872,11070.0,4030.0,11320.0,3529.0,0.6883
as_1872,export_uk,,MeAL and FLOUR,COTTON YARN and TW.,1872,212327972.0,207139438.0,16697426.0,16649662.0,0.0244
as_1872,export_uk,,COTTON MANUFACTURES,"Piece Goods, Plain",1872,2379968019.0,2137019887.0,34842628.0,31361748.0,0.1021
as_1872,export_uk,,COTTON MANUFACTURES,"Piece Goods, Printed",1872,1137625766.0,1139087407.0,23360694.0,23044121.0,0.0136
as_1872,export_uk,,COTTON MANUFACTURES,"Piece Goods of Mixed Materials, Cotton predominating",1872,20391526.0,19063603.0,727891.0,681104.0,0.0651
as_1872,export_uk,,COTTON MANUFACTURES,Lace and Patent Net,1872,,0.0,1021420.0,997992.0,0.0229
as_1872,export_uk,,COTTON MANUFACTURES,Stockings and Socks,1872,1182685.0,1185785.0,418839.0,418839.0,0.0026
as_1872,export_uk,,COTTON MANUFACTURES,Thread for Sewing,1872,8043856.0,7730145.0,1400243.0,1364542.0,0.0390
