commodity,bucket,gbp,has_t1,n_cells,n_countries,dupe_pct,dupe_partner,dupe_pct_ub,host_share,dupe_partner_ub,place_article,name_article,fold_candidate
"Sugar — Unrefined : Cane, And Other Sorts",DUPE-FAM,128058215,1,544,69,75,"Sugar — Unrefined, Total",76,74,"Sugar — Unrefined, Total",,,
"Corn And Grain — Cotton Raw, And Waste Of",DUPE-FAM,53385640,0,22,22,95,Cotton — Raw,95,95,Cotton — Raw,,,
Wheatmeal And Flour,DUPE-FAM,48597275,1,97,25,62,Corn And Grain — Wheat Meal Or Flour,63,62,Corn And Grain — Wheat Meal Or Flour,,,
Corn And Grain — From Russia,DUPE-FAM,33917153,0,69,36,0,,83,55,Corn And Grain — Wheat,,,
Ore Of (Including Chrome),DUPE-FAM,24603932,1,143,35,60,Iron — Ore Of,64,60,Iron — Ore Of,,,
Lead — Undressed,DUPE-FAM,23485390,0,93,20,83,"Skins, Furs, And Pelts — Undressed",83,81,"Skins, Furs, And Pelts — Undressed",,,
Corn And Grain — From British East Indies,DUPE-FAM,19541640,0,22,9,0,,95,86,Corn And Grain — Wheat,,,
"Sugar — Sawn Or Split, Planed Or Dressed, Fir",DUPE-FAM,14474668,0,18,21,89,Wood And Timber — Sawn Or Split,89,89,Wood And Timber — Sawn Or Split,,,
"Horns, Tips And Pieces Of Horns And Hoofs — Manufactures Of Iron Or Steel, Unenumerated",DUPE-FAM,13973723,0,161,47,71,"Iron — Manufactures Of Iron Or Steel, Unenumerated",79,35,"Iron — Manufactures Of Iron Or Steel, Unenumerated",,,
Margarine (Including All Kinds Of Artificial Or Imitation Butter),DUPE-FAM,13954325,1,47,37,51,Caoutchouc,51,36,Caoutchouc,,,
"Horns, Tips And Pieces Of Horns And Hoofs — Unenumerated",DUPE-FAM,13947232,0,82,19,0,,60,51,"Iron — Manufactures Of Iron Or Steel, Unenumerated",,,
Fish (Including Turtle) — Dressed Or Undressed,DUPE-FAM,13463955,0,38,13,53,"Flax, Dressed Or Undressed",68,66,"Flax, Dressed Or Undressed",,,
"Fruit — Perfumed Spirits (Including Water Cologne) : Unenumerated, Including Shrub",DUPE-FAM,12655876,0,15,15,60,"Spirits — Unenumerated, Including Shrub",100,60,"Spirits — Unenumerated, Including Shrub",,,
"Petroleum, Lubricating — Petroleum, Illuminating And Lu- Bricating",DUPE-FAM,12599420,0,40,10,88,Petroleum,88,88,Petroleum,,,
