volume,year,flow,article_group,article,country_raw,old_value,new_value,witnesses
as_1899,1897,export_uk,"AMMUNITION, Shot, Large and Small","Rockets and other Combustibles for the purposes of War, Explosives, Percussion Caps, and Ammunition, unenumerated",Germany,36.0,26.0,obs:as_1897
as_1899,1897,export_uk,"AMMUNITION, Shot, Large and Small","Rockets and other Combustibles for the purposes of War, Explosives, Percussion Caps, and Ammunition, unenumerated",Other Foreign Countries,1282.0,1298.0,obs:as_1897; obs:as_1898; obs:tn_1899
as_1899,1897,export_uk,"ANIMALS, Living","Bulls, Oxen, Cows, and Calves",Germany,8103.0,8403.0,obs:as_1897; obs:tn_1901
as_1899,1897,export_uk,"ANIMALS, Living","Bulls, Oxen, Cows, and Calves",Argentine Republic,110581.0,119581.0,obs:as_1897; obs:tn_1901
as_1899,1897,export_uk,"ANIMALS, Living","Bulls, Oxen, Cows, and Calves",Natal,382.0,582.0,obs:as_1897
as_1899,1897,export_uk,"ANIMALS, Living",Stallions,Cape of Good Hope,12104.0,12119.0,obs:as_1897
as_1899,1897,export_uk,BEER AND ALE,East Africa,British East Indies : Bombay,70239.0,79239.0,obs:tn_1901
as_1899,1897,export_uk,BLEACHING MATERIALS,,Australasia : Victoria,1809.0,1899.0,obs:tn_1901
as_1899,1897,export_uk,BLEACHING MATERIALS,,Norway,1080.0,1980.0,obs:tn_1901
as_1899,1897,export_uk,BLEACHING MATERIALS,,Holland,27006.0,27506.0,obs:as_1897
as_1899,1897,export_uk,BLEACHING MATERIALS,East Africa,Australasia : South Australia,30192.0,36192.0,obs:as_1897; obs:tn_1901
as_1899,1897,export_uk,BLEACHING MATERIALS,East Africa,Australasia : Victoria,112072.0,142072.0,obs:as_1897; obs:tn_1901
as_1899,1897,export_uk,"BRASS, AND MANUFACTURES OF, not being Ordnance",,France,10681.0,16681.0,obs:as_1897; obs:tn_1901
as_1899,1897,export_uk,"CAOUTCHOUQ, MANUFACTURES OF",West Africa,Peru,2572.0,2872.0,obs:tn_1901
as_1899,1897,export_uk,"CAOUTCHOUQ, MANUFACTURES OF",West Africa,British East Indies : Straits Settlements,3741.0,8741.0,obs:tn_1901
as_1899,1897,export_uk,"CORDAGE, CABLES, ROPES, AND TWINE, of Hemp or like Material",East Africa,TOTAL,7090.0,7690.0,obs:as_1897
as_1899,1897,export_uk,"CORDAGE, CABLES, ROPES, AND TWINE, of Hemp or like Material",East Africa,Germany,400.0,460.0,obs:as_1897
as_1899,1897,export_uk,"CORDAGE, CABLES, ROPES, AND TWINE, of Hemp or like Material",East Africa,Australasia : West Australia,25065.0,25665.0,obs:as_1897
as_1899,1897,export_uk,"CORDAGE, CABLES, ROPES, AND TWINE, of Hemp or like Material",East Africa,Australasia : Queensland,30560.0,36560.0,obs:as_1897
as_1899,1897,export_uk,"CORDAGE, CABLES, ROPES, AND TWINE, of Hemp or like Material",Oatmeal,TOTAL,18702.0,16702.0,obs:as_1897
as_1899,1897,export_uk,COTTON MANUFACTURES,,Canada,190707.0,196707.0,obs:tn_1901
as_1899,1897,export_uk,COTTON MANUFACTURES—con- tinued,East Africa,Turkey,592.0,892.0,obs:tn_1899
as_1899,1897,export_uk,"FISH, FRESH and CURED",Herrings,TOTAL,1359595.0,1350595.0,inf:tn_1901
as_1899,1897,export_uk,"FISH, FRESH and CURED",Herrings,Channel Islands,5201.0,5291.0,inf:tn_1901
as_1899,1897,export_uk,"FURNITURE (Household), Cabinet and Upholstery Wares",East Africa,Newfoundland,1019.0,1910.0,obs:tn_1901
as_1899,1897,export_uk,IMPLEMENTS AND TOOLS,Railroad Iron—Unenumerated,Brazil,23937.0,28037.0,inf:tn_1901
as_1899,1897,export_uk,IMPLEMENTS AND TOOLS,Railroad Iron—Unenumerated,British East Indies : Ceylon,1063.0,1603.0,inf:tn_1901
as_1899,1897,export_uk,IMPLEMENTS AND TOOLS,"Steel Bar, of all kinds",British East Indies : New South Wales,25028.0,25928.0,obs:as_1897
as_1899,1897,export_uk,IMPLEMENTS AND TOOLS,"Wire of Iron and Steel (except Telegraphic Wire), and Manufactures thereof",TOTAL,232527.0,282527.0,inf:tn_1901
as_1899,1897,export_uk,LEAD,"Rolled, Sheet, Piping, Tubing, and other Manufactures",British East Indies : Ceylon,50421.0,48011.0,obs:tn_1901
as_1899,1897,export_uk,"MEAT: Beef, Pork, Mutton, Bacon and Hams",,Hong Kong,4423.0,4123.0,obs:tn_1899
as_1899,1897,export_uk,"MUSICAL INSTRUMENTS, AND PARTS THEREOF",,Belgium,8244.0,3244.0,obs:tn_1901
as_1899,1897,export_uk,"PAINTERS' COLOURS AND MATERIALS, UNENUMERATED","Pasteboard, Millboard, Cardboard, and Cards (including Playing Cards)",Other British Possessions,3223.0,1080.0,obs:tn_1901
as_1899,1897,export_uk,SILK,"Thrown, Twist, or Yarn",Australasia,1231.0,1281.0,inf:as_1899
as_1899,1897,export_uk,"SILK MANUFACTURES, WHOLLY OF SILK",Broad Stuffs of Silk or Satin,Australasia,11179.0,11470.0,obs:tn_1901
as_1899,1897,export_uk,"SILK MANUFACTURES, WHOLLY OF SILK","Handkerchiefs, Scarfs, and Shawls",France,3120.0,8120.0,inf:tn_1901; obs:tn_1901
as_1899,1897,export_uk,SKINS AND FURS,West Africa,British East Indies : Straits Settlements,10477.0,19477.0,obs:as_1898
as_1899,1897,export_uk,Slates,,Other Foreign Countries,4076.0,4976.0,obs:as_1898
as_1899,1897,export_uk,WOOD AND TIMBER,Flannels,Australasia : New South Wales,73050.0,73959.0,obs:as_1897
as_1899,1897,export_uk,WOOD AND TIMBER,West Africa,Lagos,3005.0,3925.0,obs:as_1898; obs:tn_1899
as_1899,1897,export_uk,WOOD AND TIMBER,Wool and Mohair Plushes,TOTAL,1770.0,1779.0,obs:as_1898
as_1899,1897,export_uk,WOOD AND TIMBER,Woollen Yarn (Carded),France,24318.0,21318.0,inf:as_1897
as_1899,1897,export_uk,WOOD AND TIMBER,Worsted Yarn (Combed or Carded),Germany,2961751.0,2942751.0,inf:tn_1899
as_1899,1897,import,BEEF,SalTED,TOTAL,214937.0,214037.0,inf:as_1899
as_1899,1897,import,BRIMSTONE,,Italy,109580.0,100580.0,obs:tn_1901
as_1899,1897,import,BRISTLES,,TOTAL,449528.0,440528.0,inf:tn_1901
as_1899,1897,import,CORDAGE,Beans (not Kidney or French),Other British Possessions,10.0,19.0,inf:tn_1899; obs:as_1897
as_1899,1897,import,CORDAGE,"Meal, not otherwise enumerated or described",TOTAL,179360.0,170300.0,obs:as_1897
as_1899,1897,import,DYE STUFFS (Other than Dye Woods) and Substances used in Tan- ning or Dyeing,Bark,Belgium,27597.0,27897.0,obs:tn_1901
as_1899,1897,import,DYE STUFFS (Other than Dye Woods) and Substances used in Tan- ning or Dyeing,Bark,Other Foreign Countries,1333.0,1833.0,obs:tn_1901
as_1899,1897,import,DYE STUFFS (Other than Dye Woods) and Substances used in Tan- ning or Dyeing,Bark,TOTAL,61221.0,64221.0,obs:tn_1901
as_1899,1897,import,FRUIT,Perfumed,Channel Islands,1938.0,1988.0,inf:as_1899
as_1899,1897,import,FRUIT,"Unenumerated, Sweetened, or Mixed (Tested)",United States of America,69064.0,69964.0,inf:tn_1899
as_1899,1897,import,GUM,"Lac, Seed, Shell, Stick, and Dye",Asiatic,96837.0,96527.0,obs:tn_1899
as_1899,1897,import,"GUTTA PERCHA, Manufactures of",,Germany,1656.0,1958.0,obs:as_1897
as_1899,1897,import,Horse,,Argentine Republic,10914.0,16914.0,obs:as_1897
as_1899,1897,import,JUTE,"Manufactures of, including     Piece Goods, Sacks, and     Bags",Holland,4104.0,4191.0,obs:as_1898; obs:tn_1899
as_1899,1897,import,LEAD,Pig and Sheet,Germany,110772.0,119772.0,inf:as_1897
as_1899,1897,import,LEAD,Pig and Sheet,Spain,1103483.0,1193483.0,inf:as_1897; inf:as_1899
as_1899,1897,import,LIQUORICE,,France,4511.0,4811.0,obs:tn_1901
as_1899,1897,import,LIQUORICE,"MANGANESE, Ore of",Canada,2008.0,2098.0,inf:as_1899
as_1899,1897,import,MANURES,Guano,Norway,1018.0,1618.0,inf:as_1897
as_1899,1897,import,MANURES,Phosphate of Lime and Rock,French Guiana,5790.0,8790.0,inf:tn_1899
as_1899,1897,import,MOSS LITTER,,Belgium,1323.0,1823.0,obs:tn_1901
as_1899,1897,import,MOSS LITTER,,TOTAL,132192.0,132402.0,obs:tn_1901
as_1899,1897,import,NUTS AND KERNELS,"Chemical, Essential or Perfumed",Austrian Territories,2022.0,2922.0,inf:as_1897
as_1899,1897,import,NUTS AND KERNELS,"Chemical, Essential or Perfumed",Japan,4002.0,4923.0,inf:as_1897
as_1899,1897,import,NUTS AND KERNELS,Turpentine,TOTAL,510812.0,516812.0,inf:tn_1901
as_1899,1897,import,PAPER,Other Materials,Belgium,40215.0,46215.0,inf:as_1899
as_1899,1897,import,PAPER,Printed or Coated,Japan,18677.0,18077.0,inf:tn_1901
as_1899,1897,import,PAPER,Unprinted,Germany,413621.0,443021.0,inf:tn_1901
as_1899,1897,import,PORK,Salted (not hams),Germany,6903.0,6003.0,inf:as_1899
as_1899,1897,import,SLATES,Eastern Coast of Africa,Spain,1502.0,1562.0,obs:tn_1899
as_1899,1897,import,SPONGE,,TOTAL,4500.0,4590.0,obs:tn_1901
as_1899,1897,import,SUGAR,"In Blocks, Ingots, Bars, or Slabs",British East Indies : Bombay,93710.0,98710.0,inf:as_1899
as_1899,1897,import,SUGAR,"Refined, or rendered by any process equal thereto : Other Sorts, including Candy",Holland,608445.0,668445.0,inf:as_1897
as_1899,1897,import,TOBACCO,Unmanufactured,United States of America,1569241.0,1860241.0,obs:tn_1901
as_1899,1897,import,TOBACCO,Unmanufactured,British East Indies,240.0,249.0,obs:as_1897
as_1899,1897,import,TOBACCO,Unmanufactured,TOTAL,677.0,977.0,obs:as_1897; obs:tn_1901
as_1899,1897,import,WINE,"in Bottles, Still",Channel Islands,2303.0,2393.0,obs:as_1898; obs:tn_1899; obs:tn_1901
as_1899,1897,import,ZINC,"GOODS, not being either in part or wholly manufactured, unenumerated",British East Indies : Ceylon,6007.0,7422.0,obs:as_1897
as_1899,1897,import,ZINC,"GOODS, not being either in part or wholly manufactured, unenumerated",Australasia : New Zealand,3669.0,3060.0,inf:as_1899
as_1899,1897,reexport,CHICORY,East Coast of Africa,British Possessions,7.0,153.0,inf:as_1898; inf:tn_1899
as_1899,1897,reexport,CHICORY,East Coast of Africa,TOTAL,160.0,153.0,obs:as_1898; obs:tn_1899
as_1899,1897,reexport,CHICORY,East Coast of Africa,Australasia : New Zealand,15220.0,15826.0,inf:as_1898; inf:tn_1899
as_1899,1897,reexport,"COPPER, Ore of",Manufactured,Australasia : Other Colonies,3203.0,3293.0,obs:as_1897
as_1899,1897,reexport,DRUGS,"Unenumerated, including Medicinal Preparations not liable to Duty",Germany,103464.0,108464.0,obs:tn_1901
as_1899,1897,reexport,"GUM, Arabic",,Italy,3552.0,3852.0,obs:tn_1901
as_1899,1897,reexport,"GUM, Unenumerated",,Roumania,1104.0,1404.0,obs:tn_1901
as_1899,1897,reexport,"GUM, Unenumerated",,United States of America : On the Atlantic,67043.0,67643.0,obs:tn_1901
as_1899,1897,reexport,"LEATHER, Undressed",,TOTAL,1523400.0,1528400.0,obs:as_1897; obs:tn_1901
as_1899,1897,reexport,"LEATHER, Undressed",,TOTAL,1033.0,1633.0,obs:as_1897
as_1899,1897,reexport,MANURES,Nitrate of Soda (Cubic Nitre),TOTAL,5607.0,5507.0,obs:tn_1901
as_1899,1897,reexport,"MEAT, Preserved, otherwise than by Salting",Other sorts,Germany,3032.0,3632.0,inf:as_1898
as_1899,1897,reexport,"METAL: Leaf, not Gold","Unenumerated, Unwrought",Other British Possessions,612.0,672.0,obs:as_1897
