commodity,action,target,note,years
Corn And Grain — United States Of America,drop,,known junk commodity (round-12 memory): country label absorbed as article; cells are dupes of the corn family,
Isinglass — East Coast Of Africa,drop,,article-drift phantom: a place name as article; cells belong to the isinglass/sugar glue neighbourhood,
Sugar — East Coast Of Africa,drop,,article-drift phantom (same class),
Spirits — .. British East Indies,drop,,dot-prefixed place-article phantom from the spirits glue,
Guano. See Manures,drop,,cross-reference line parsed as a commodity; cells are dupes (DUPE-FAM vs Manures),
"Sheep, Undressed",fold,"Skins, Furs, And Pelts — Sheep, Undressed",name-as-article glue folded to real commodity (curation round 27 NAME-ART?),
Cutch And Gambier,fold,"Dye Stuffs, And Substances Used In Tanning — Cutch And Gambier",name-as-article glue folded to real commodity (curation round 27 NAME-ART?),
Dye Stuffs (Other Than Dye Woods) And Substances Used In Tan- Ning Or Dyeing — Cutch And Gambier,fold,"Dye Stuffs, And Substances Used In Tanning — Cutch And Gambier",name-as-article glue folded to real commodity (curation round 27 NAME-ART?),
"Copper, Ore Of — Cutch And Gambier",fold,"Dye Stuffs, And Substances Used In Tanning — Cutch And Gambier",name-as-article glue folded to real commodity (curation round 27 NAME-ART?),
"Dye Stuffs (Other Than Dye Woods), And Substances Used In Tanning Or Dyeing — Cutch And Gambier",fold,"Dye Stuffs, And Substances Used In Tanning — Cutch And Gambier",name-as-article glue folded to real commodity (curation round 27 NAME-ART?),
Gutch And Gambier,fold,"Dye Stuffs, And Substances Used In Tanning — Cutch And Gambier",name-as-article glue folded to real commodity (curation round 27 NAME-ART?),
"Dye Stuffs, And Substances Used In Tanning — Gutch And Gambier",fold,"Dye Stuffs, And Substances Used In Tanning — Cutch And Gambier",name-as-article glue folded to real commodity (curation round 27 NAME-ART?),
Sheep And Lambs,fold,"Animals, Living — Sheep And Lambs",name-as-article glue folded to real commodity (curation round 27 NAME-ART?),
Animals — Sheep And Lambs,fold,"Animals, Living — Sheep And Lambs",name-as-article glue folded to real commodity (curation round 27 NAME-ART?),
Cows — Sheep And Lambs,fold,"Animals, Living — Sheep And Lambs",name-as-article glue folded to real commodity (curation round 27 NAME-ART?),
Ammunition — Sheep And Lambs,fold,"Animals, Living — Sheep And Lambs",name-as-article glue folded to real commodity (curation round 27 NAME-ART?),
"Goat, Undressed - - - - -",fold,"Skins, Furs, And Pelts — Goat, Undressed",name-as-article glue folded to real commodity (curation round 27 NAME-ART?),
Boots And Shoes,fold,Jute — Boots And Shoes,name-as-article glue folded to real commodity (curation round 27 NAME-ART?),
Lead — Boots And Shoes,fold,Jute — Boots And Shoes,name-as-article glue folded to real commodity (curation round 27 NAME-ART?),
Wheatmeal And Flour,fold,Cheese — Wheatmeal Or Flour,name-as-article glue folded to real commodity (curation round 27 NAME-ART?),
"China, Or Porcelain, And Earthenware — Wheatmeal Or Flour",fold,Cheese — Wheatmeal Or Flour,name-as-article glue folded to real commodity (curation round 27 NAME-ART?),
"Other Plate, Whether Silvered Or Not",fold,"Glass — Plate, Whether Silvered Or Not",name-as-article glue folded to real commodity (curation round 27 NAME-ART?),
Tares And Lentils,fold,Cotton — Tares And Lentils,name-as-article glue folded to real commodity (curation round 27 NAME-ART?),
"Staves, Of All Dimensions",fold,"Sugar — Staves, Of All Dimensions",name-as-article glue folded to real commodity (curation round 27 NAME-ART?),
